tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100008579	0	live	EGR1	EGR-1, zenk	early growth response 1	early growth response protein 1|zinc finger protein ZENK|zinc-finger transcriptional protein		13	NC_011477.1	18141	21091	minus	2		
59729	Taeniopygia guttata	751769	0	live	FOXP2		forkhead box P2	forkhead box protein P2|transcription factor FoxP2		1A	NC_011463.1	25370715	25773703	minus	20		
59729	Taeniopygia guttata	751774	0	live	AR		androgen receptor	androgen receptor|androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)		4A	NC_011468.1	6416083	6447982	minus	8		
59729	Taeniopygia guttata	751777	0	live	CYP19A1	CYPXIX, P-450AROM	cytochrome P450, family 19, subfamily A, polypeptide 1	aromatase|cytochrome P-450AROM|cytochrome P450 19A1|estrogen synthase|estrogen synthetase		10	NC_011474.1	9057917	9078145	minus	10		
59729	Taeniopygia guttata	751584	0	live	BDNF		brain derived neurotrophic factor	brain-derived neurotrophic factor		5	NC_011469.1	1307681	1346976	minus	4		
59729	Taeniopygia guttata	101233729	0	live	LEP		leptin	LOW QUALITY PROTEIN: leptin-like|leptin		Un							
59729	Taeniopygia guttata	100229034	0	live	DRD1		dopamine receptor D1	D(1A) dopamine receptor		13	NC_011477.1	3300961	3305016	minus	3		
59729	Taeniopygia guttata	100223892	0	live	CNTNAP2		contactin associated protein like 2	contactin-associated protein-like 2		2	NC_011465.1	30174237	31216806	minus	25		
59729	Taeniopygia guttata	100038821	0	live	NPVF	gnih	neuropeptide VF precursor	pro-FMRFamide-related neuropeptide VF|gonadotropin-inhibitory hormone		2	NC_011465.1	51638884	51642583	minus	3		
59729	Taeniopygia guttata	752001	0	live	ARC		activity regulated cytoskeleton associated protein	activity-regulated cytoskeleton-associated protein		2	NC_011465.1	155067529	155073125	minus	3		
59729	Taeniopygia guttata	751771	0	live	ALDH1A2	RALDH 2, RALDH(II), RalDH2, zRalDH	aldehyde dehydrogenase 1 family member A2	retinal dehydrogenase 2|aldehyde dehydrogenase family 1 member A2|class I aldehyde dehydrogenase|retinaldehyde-specific dehydrogenase type 2		10	NC_011474.1	6786371	6838411	plus	13		
59729	Taeniopygia guttata	100229332	0	live	CARTPT		CART prepropeptide	LOW QUALITY PROTEIN: cocaine- and amphetamine-regulated transcript protein		Z	NC_011493.1	32200826	32202327	minus	3		
59729	Taeniopygia guttata	100216318	0	live	GNRH1		gonadotropin releasing hormone 1	progonadoliberin-1		22	NC_011486.1	1740278	1743810	plus	4		
59729	Taeniopygia guttata	100008580	0	live	FNDC9	FNTM2	fibronectin type III domain containing 9	fibronectin type III domain-containing protein 9|fibronectin type III and transmembrane containing protein 2		13	NC_011477.1	4748008	4750616	plus	2		
59729	Taeniopygia guttata	752002	0	live	DCX		doublecortin	neuronal migration protein doublecortin|doublecortex; lissencephaly, X-linked (doublecortin)		4A	NC_011468.1	18553665	18632926	plus	6		
59729	Taeniopygia guttata	751985	0	live	NTRK2		neurotrophic receptor tyrosine kinase 2	BDNF/NT-3 growth factors receptor|tyrosine kinase receptor		Z	NC_011493.1	52305686	52503818	minus	17		
59729	Taeniopygia guttata	751975	0	live	ATP5A1		ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	ATP synthase subunit alpha, mitochondrial		Z	NC_011493.1	32785423	32792998	plus	12		
59729	Taeniopygia guttata	751607	0	live	CNR1	CB-R, CB1	cannabinoid receptor 1	cannabinoid receptor 1|CB1 cannabinoid receptor|cannabinoid receptor 1 (brain)		3	NC_011466.1	78509880	78511879	plus	1		
59729	Taeniopygia guttata	100224454	0	live	NEU2		neuraminidase 2	sialidase-2|sialidase NEU2		9	NC_011473.1	7004941	7041047	plus	6		
59729	Taeniopygia guttata	100220481	0	live	NEU3		neuraminidase 3	sialidase-3|sialidase NEU3		1	NC_011462.1	97816415	97819562	minus	5		
59729	Taeniopygia guttata	101233123	0	live	QRFP	26RFa	pyroglutamylated RFamide peptide	LOW QUALITY PROTEIN: orexigenic neuropeptide QRFP|pyroglutamylated RFamide peptide|26RFa precursor protein		17	NC_011481.1	6697289	6700554	minus	2		
59729	Taeniopygia guttata	752013	0	live	OPN1SW	SWS1	opsin 1, short wave sensitive	ultraviolet-sensitive opsin|SWS1 cone opsin|SWS1 opsin|opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)|short wavelength sensitive type 1 opsin		1A							
59729	Taeniopygia guttata	751780	0	live	SCAMP1		secretory carrier membrane protein 1	secretory carrier-associated membrane protein 1		Z	NC_011493.1	56293319	56333199	minus	9		
